epoch,train_loss,train_class_y_loss,train_loss_y,train_loss_d,val_loss,val_class_y_loss,val_loss_y,val_loss_d,cross_loss_y,cross_loss_d
1,2466536.5821132874,107.74627236749899,0.8837348342819884,0.8356060875078721,2466536.5821132874,107.74627236749899,0.8619261911134903,0.795745411750427,0.6705577638700947,0.13652286379088419
2,942364.5056795235,72.69041547636608,0.9049581223388599,0.8519518307959805,942364.5056795235,72.69041547636608,0.8785800321199143,0.8106209538552566,0.6885638758704908,0.08361430038945179
3,828539.9153372375,64.10331212415063,0.9118500528805344,0.879322694904986,828539.9153372375,64.10331212415063,0.8807631825481799,0.8305733103993099,0.6754205481204,0.1257345539456748
4,776549.4053412762,59.112196815996064,0.9206814711484488,0.8860408437953506,776549.4053412762,59.112196815996064,0.8888433485010707,0.8368996954351576,0.6367558025842438,0.18780348567609492
5,735325.6403473344,55.802349407954054,0.9254959101013801,0.8845352085529559,735325.6403473344,55.802349407954054,0.8929921707708779,0.8314391271272399,0.6611394198240866,0.15562214305752667
6,697206.1069012521,53.17080529402454,0.9330510132440923,0.8994040083530709,697206.1069012521,53.17080529402454,0.8933853051391863,0.8417477543693487,0.6561654262516915,0.17268353019076538
7,673978.2829790993,51.4149347561049,0.9269673452003642,0.8988171242658334,673978.2829790993,51.4149347561049,0.8888349839400428,0.8368707750500654,0.6618212956698241,0.14240630878906893
8,651588.7312449515,49.67533326803771,0.9344658937666,0.8965979119889925,651588.7312449515,49.67533326803771,0.8952255085653105,0.8378482434286384,0.6575608930987822,0.15373643210171953
9,642615.0115862278,47.869317597834474,0.9412184834581473,0.9075959454406369,642615.0115862278,47.869317597834474,0.9008715872591007,0.8410167188272113,0.6392083897158322,0.14158437056503514
10,637943.1343775243,47.186537811944866,0.9416654919002081,0.9037501540209743,637943.1343775243,47.186537811944866,0.8965805674518201,0.837944622135866,0.6538383847239183,0.15775636675302815
11,622970.5160667407,45.917428374868216,0.9422355566831413,0.9019330006622902,622970.5160667407,45.917428374868216,0.9025946868308351,0.8389278474997616,0.6750069618634278,0.12525887818079803
12,616649.492957391,45.20156314338351,0.9415555647777991,0.9095164746823744,616649.492957391,45.20156314338351,0.8966976713062098,0.8414717577200497,0.6360421600135318,0.14035802542988218
13,611579.0785288772,44.562921767473604,0.9429849382461462,0.9026571398989623,611579.0785288772,44.562921767473604,0.9018586054603854,0.8349423881546437,0.6683334742895806,0.11275905867355358
14,605723.3226852787,43.613945237654285,0.9456800646374688,0.9040394246632075,605723.3226852787,43.613945237654285,0.900645744111349,0.8378374406150031,0.6632009049391069,0.14490247202877982
15,602004.2894285137,43.39578135063652,0.9477036488852305,0.9055123839280825,602004.2894285137,43.39578135063652,0.9041755888650964,0.8437937530884533,0.668661197564276,0.16751522327469553
16,594470.7210218094,42.180616217784234,0.9401199074676214,0.9181419968562607,594470.7210218094,42.180616217784234,0.8959030380085653,0.8431918094760249,0.6594585165764547,0.14720837011947588
17,593854.0004038772,41.967005061795135,0.9504963753730731,0.9145070751245858,593854.0004038772,41.967005061795135,0.9035398822269807,0.8457483511994036,0.6582427689445196,0.1232132506435856
18,591251.8847561592,41.29854704682777,0.9518828315387038,0.9105043480976699,591251.8847561592,41.29854704682777,0.9032889453961456,0.8448133151891217,0.6618530108254398,0.1286178225766527
19,593616.0464206381,41.04977754013604,0.9506330957274581,0.9228743982486103,593616.0464206381,41.04977754013604,0.901574210385439,0.8516787911035206,0.6601192747697944,0.12259096319185452
20,588976.5554700121,40.96915595751009,0.9480959745334876,0.9242879685232468,588976.5554700121,40.96915595751009,0.9044683485010707,0.8515560657222863,0.6737091931664412,0.14997024448001586
21,587109.5173793416,40.53284888698904,0.9483247331158786,0.9098454003775224,587109.5173793416,40.53284888698904,0.9004784528907923,0.8349636890003381,0.6601879651556157,0.1711071838179478
22,583539.3002574717,40.04944301999636,0.9475153742880809,0.9209034110939597,583539.3002574717,40.04944301999636,0.9006541086723768,0.8528931763604366,0.6610971329499323,0.18426874133634774
23,583106.4734198303,39.5226295599067,0.9515973044618166,0.9210477522777991,583106.4734198303,39.5226295599067,0.9041672243040685,0.8507647850219768,0.6671230125169147,0.18058331133040698
24,581267.6601373183,39.18596654485231,0.9524531637191617,0.9236216941109225,581267.6601373183,39.18596654485231,0.904811295503212,0.8542169104738663,0.6664094215155616,0.1489422350985181
25,581215.557552504,39.3161619737961,0.9535817149722078,0.9305044261777471,581215.557552504,39.3161619737961,0.9003864427194861,0.8573461706430052,0.6728528839648173,0.15256426057790684
26,576221.8720971325,38.57094131301793,0.9470812811464637,0.9238254510247529,576221.8720971325,38.57094131301793,0.8981196466809421,0.8530825134483178,0.6560385656292287,0.16153714850325093
27,583737.200348344,38.71205318879234,0.9555032603245392,0.9185639768900086,583737.200348344,38.71205318879234,0.9041504951820128,0.8505190294779321,0.6646135701673322,0.14422717127627974
28,580731.4634112479,38.406150037522075,0.9543681578321376,0.9287908358803839,580731.4634112479,38.406150037522075,0.9080734743040685,0.8556965234310657,0.6581529093369418,0.15307304387108486
29,583544.9251438812,38.14673103693036,0.9519590933127515,0.9120817260959447,583544.9251438812,38.14673103693036,0.9014654710920771,0.8406905009471256,0.6612715663058186,0.15191541490643257
30,586984.3055709815,38.15624741283102,0.9538775101140439,0.9290742772565784,586984.3055709815,38.15624741283102,0.9034646011777302,0.855474947225377,0.6618952976995941,0.15400211743786923
31,583511.8488110864,37.87417649722061,0.9481459243911037,0.9144989462398346,583511.8488110864,37.87417649722061,0.9037239025695931,0.8472834682680388,0.6694223612990527,0.15291707234562196
32,583482.0597359652,37.718766933881795,0.9531226201620301,0.9185164336101148,583482.0597359652,37.718766933881795,0.9032136643468951,0.8508376278186199,0.6591625084573748,0.1526673735106769
33,585365.5089231624,37.44346721915706,0.9535309629220174,0.9302832884248105,585365.5089231624,37.44346721915706,0.9046774625267666,0.8589917202359795,0.6871934201623816,0.16290860981385524
34,582507.4816488287,37.43097635039605,0.9480544209581473,0.9115100836676159,582507.4816488287,37.43097635039605,0.8987135305139187,0.8415649870176595,0.665521397158322,0.14906646568368592
35,584330.5253937803,37.330900200734426,0.9568130001403303,0.9265492424307248,584330.5253937803,37.330900200734426,0.9076134234475375,0.8535313212511596,0.6523173207036536,0.14944044667315753
36,587775.0242200121,37.340279009500115,0.958218414790463,0.9337070463312204,587775.0242200121,37.340279009500115,0.91077522751606,0.8620446156880424,0.6618160098105548,0.13393036898907554
37,588589.1195728999,36.95258587512138,0.9530647553376824,0.9277842981178638,588589.1195728999,36.95258587512138,0.9036569860813705,0.8591507823539866,0.6617472936400541,0.1497862192234067
38,588995.693305735,37.020189889220696,0.9561992960813642,0.9185677204553545,588995.693305735,37.020189889220696,0.9067853319057816,0.8462765038058414,0.66922149864682,0.11474543301759134
39,585634.7386030897,36.62128483690622,0.9514355824388708,0.9269502584985351,585634.7386030897,36.62128483690622,0.9010388784796574,0.8522019656108853,0.68108825270636,0.1541077056998581
40,589722.0345188812,36.63937055698697,0.9519325407385477,0.9285189728170095,589722.0345188812,36.63937055698697,0.9030045503211992,0.8592796033667393,0.6877537212449256,0.15414991521997426
41,588824.3224580977,36.549277511282384,0.9575820889009065,0.9228091799923333,588824.3224580977,36.549277511282384,0.9082407655246253,0.848419524659945,0.6675300236806495,0.15336250268160667
42,592115.0426469103,36.533798436163316,0.9590976713312204,0.9325906081860438,592115.0426469103,36.533798436163316,0.9058986884368309,0.8600652625402041,0.6761724035859269,0.18042445192085546
43,592001.3494547658,36.34203669366236,0.9524368524701542,0.9292909494708524,592001.3494547658,36.34203669366236,0.9046774625267666,0.8560372015036974,0.6438070872801083,0.1438043025347371
44,592683.5261131866,36.215654626994215,0.9581381955330496,0.9270238730370883,592683.5261131866,36.215654626994215,0.906199812633833,0.855180968463099,0.6485907899188093,0.12966465477408495
45,594393.2544426494,36.01718267562509,0.9563759923656938,0.9282688759121464,594393.2544426494,36.01718267562509,0.904551994111349,0.8573045171609637,0.6553342313277666,0.16846935954982012
